feature,importance,importance_std,importance_type,model
min_margin_pct_rt__imputed,0.8950073234825903,0.000320309988546185,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_30min_range__imputed,0.003282237651766118,5.425384015467216e-06,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_15min_median__imputed,0.0024713487138692037,0.001493306627409095,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_60min_min__imputed,0.0016559997192630905,0.0007971490842388723,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_rolling_60min_range__imputed,0.0011789278175800666,0.0010771614643107707,permutation_average_precision,hist_gradient_boosting
bod_cod_ratio_rt__imputed,0.0011678892697700506,0.0005007050517800738,permutation_average_precision,hist_gradient_boosting
ph_rt_lag_60min__imputed,0.0007041292046148451,0.0003208528960829968,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_60min_std__imputed,0.0006630769751769349,0.0003464035660695383,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_30min_min__imputed,0.0006457906637135302,7.033115350031142e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_60min_max__imputed,0.0005734528680309215,7.41693702397029e-05,permutation_average_precision,hist_gradient_boosting
temperature_c_rt__imputed,0.0005689751294986944,0.0002516693132356968,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_15min_median__imputed,0.0003564081344368697,7.748139814574254e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_60min_max__imputed,0.000319698223214937,7.140863541587831e-05,permutation_average_precision,hist_gradient_boosting
temperature_c_rt_lag_120min__imputed,0.00030168908004148955,4.143183599952204e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_60min_min__imputed,0.00029935418456794594,0.0003291088843397342,permutation_average_precision,hist_gradient_boosting
ph_rt_rolling_30min_median__imputed,0.000282927615670836,4.228964404906942e-05,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_pct_change_30min__imputed,0.00025072324011570223,0.00020471466831359215,permutation_average_precision,hist_gradient_boosting
uv254_abs_rt_rolling_30min_slope__imputed,0.0002090971117535201,0.00015745999668017864,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_120min_mean__imputed,0.0002067360106557059,3.7475553833495574e-05,permutation_average_precision,hist_gradient_boosting
cod_mg_l_rt_rolling_60min_range__imputed,0.0001998717865578703,6.149974607785095e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_60min_min__imputed,0.00018739973541084253,3.3127382712195874e-05,permutation_average_precision,hist_gradient_boosting
flow_rate_lps_rt_rolling_60min_median__imputed,0.00017426215211182594,4.3348304325002514e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_rolling_120min_median__imputed,0.00016776738056731855,4.1483865065032014e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_30min_range__imputed,0.00014821222308114557,3.34787415724208e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_rolling_60min_median__imputed,0.00013484681276305644,4.671703999819826e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_lag_15min__imputed,0.00012812150516834376,5.339057499238192e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_rolling_30min_median__imputed,0.00011474934801503078,5.876759460431757e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_30min_max__imputed,0.00011468931467903954,6.0858055973891896e-05,permutation_average_precision,hist_gradient_boosting
tss_mg_l_rt_lag_15min__imputed,0.00010857294046564547,2.4983916040263993e-05,permutation_average_precision,hist_gradient_boosting
dissolved_oxygen_mg_l_rt_lag_60min__imputed,0.00010818795035110185,5.3361216827309714e-05,permutation_average_precision,hist_gradient_boosting
turbidity_ntu_rt_rolling_30min_min__imputed,0.00010161980585188246,4.725875652508842e-05,permutation_average_precision,hist_gradient_boosting
orp_mv_rt_lag_120min__imputed,9.512891805969481e-05,3.297798986698622e-05,permutation_average_precision,hist_gradient_boosting
ammonia_mg_l_rt_rolling_60min_range__imputed,9.489847233929982e-05,4.9080569145567715e-05,permutation_average_precision,hist_gradient_boosting
