model,target,split,rows,mae,rmse,mape_pct,r2,fit_seconds
random_forest,target_ammonia_mg_l_plus_30min,test,1291,2.3001233317306844,2.9259284450613587,10.423370055587759,0.7060023744565562,44.744410099985544
xgboost,target_ammonia_mg_l_plus_30min,test,1291,2.302734444015036,2.941597512108804,10.434037117109272,0.702845083692236,4.46600060001947
extra_trees,target_ammonia_mg_l_plus_30min,test,1291,2.3059735599418647,2.9896642114768803,10.489771396776705,0.693054517451595,11.707401699968614
catboost,target_ammonia_mg_l_plus_30min,test,1291,2.3315820937108374,2.970170067876301,10.575248296229542,0.69704435088723,5.707564399985131
lightgbm,target_ammonia_mg_l_plus_30min,test,1291,2.3684019723024345,3.0699527181141613,10.7753571908421,0.6763468827513388,2.4502931000315584
hist_gradient_boosting,target_ammonia_mg_l_plus_30min,test,1291,2.4069940813500357,3.121815635919143,10.937307213609317,0.6653191034126047,6.298543700017035
mlp_neural_baseline,target_ammonia_mg_l_plus_30min,test,1291,2.9961430822121073,3.9612000303621993,13.062965730526665,0.4611474179998031,4.0698149999952875
ridge,target_ammonia_mg_l_plus_30min,test,1291,3.054607952113099,3.889605840766601,13.556829275893003,0.48044969024934614,0.04951979999896139
persistence_current_value,target_ammonia_mg_l_plus_30min,test,1291,3.1796544228919084,4.1131688646248925,14.258999291011937,0.4190088725879825,
dummy_mean,target_ammonia_mg_l_plus_30min,test,1291,4.800616484771001,5.404283285080364,22.701178563202074,-0.0029808311308403557,0.00039770000148564577
extra_trees,target_ammonia_mg_l_plus_30min,validation,1291,2.3051028100704025,3.0140510880753504,10.546822003134066,0.7169768267885892,11.707401699968614
catboost,target_ammonia_mg_l_plus_30min,validation,1291,2.312055690486739,3.0247428037105273,10.590309233727561,0.7149653344453349,5.707564399985131
xgboost,target_ammonia_mg_l_plus_30min,validation,1291,2.3803628915626995,3.186982466642696,10.935581810159213,0.6835681971349732,4.46600060001947
random_forest,target_ammonia_mg_l_plus_30min,validation,1291,2.4290701495999243,3.567835961039535,11.259880177182385,0.6034202502991963,44.744410099985544
lightgbm,target_ammonia_mg_l_plus_30min,validation,1291,2.4504763281103927,3.263276255613708,11.213461719775715,0.6682366107022318,2.4502931000315584
hist_gradient_boosting,target_ammonia_mg_l_plus_30min,validation,1291,2.550360625652367,3.4529339003616184,11.691051640504403,0.6285526137706122,6.298543700017035
ridge,target_ammonia_mg_l_plus_30min,validation,1291,3.001386135114117,3.935105397348514,13.62181942746045,0.5175708792495884,0.04951979999896139
persistence_current_value,target_ammonia_mg_l_plus_30min,validation,1291,3.158279306819043,4.153040970382154,14.38434623214986,0.46265500474357857,
mlp_neural_baseline,target_ammonia_mg_l_plus_30min,validation,1291,3.335064442182791,5.303745040661078,14.823987612055625,0.12363292133403381,4.0698149999952875
dummy_mean,target_ammonia_mg_l_plus_30min,validation,1291,5.120670122614992,5.685851853062055,24.56198115572971,-0.007191047515731741,0.00039770000148564577
random_forest,target_bod_mg_l_plus_30min,test,1291,47.24281632719275,60.20214055530897,11.971073216998102,0.49545631702812154,34.641005699988455
extra_trees,target_bod_mg_l_plus_30min,test,1291,47.54340744899872,60.405027652189034,12.055187084707347,0.49204986360810965,10.862255799991544
catboost,target_bod_mg_l_plus_30min,test,1291,47.601267009841216,60.86073867966363,12.07265075700875,0.4843567408959848,5.899199699983001
xgboost,target_bod_mg_l_plus_30min,test,1291,48.401197591226854,61.42527784784845,12.227644715578394,0.4747462453139699,4.89757810003357
hist_gradient_boosting,target_bod_mg_l_plus_30min,test,1291,48.7729458759801,61.82956607726399,12.369831928915582,0.4678092723843795,6.333626099978574
lightgbm,target_bod_mg_l_plus_30min,test,1291,48.84504728425857,61.636134604738935,12.319235734401179,0.47113394104558937,2.6005289999884553
ridge,target_bod_mg_l_plus_30min,test,1291,49.338396819561346,63.30586752203364,12.510681439000237,0.4420916832398054,0.05259690003003925
mlp_neural_baseline,target_bod_mg_l_plus_30min,test,1291,59.398180944263345,82.2577587758064,14.74830838684025,0.058048263445146686,3.9095082000130787
persistence_current_value,target_bod_mg_l_plus_30min,test,1291,66.0891668964897,84.24611275009562,16.61698717465323,0.011959724141451078,
dummy_mean,target_bod_mg_l_plus_30min,test,1291,69.34759699023937,84.79384532109773,17.925985657203036,-0.0009296802588703024,0.00036050000926479697
random_forest,target_bod_mg_l_plus_30min,validation,1281,46.81500087402565,59.19185093993724,11.883880898236432,0.5135865626383215,34.641005699988455
